E11-143 America,,,,,
,E11-29 General,,,,
,,E29 Elements in the population,,,
,E31-49.2 North America,,,,
,E51-73 Pre-Columbian America. The Indians,,,,
,E75-99 Indians of North America,,,,
,,E81-83 Indian wars,,,
,,E99 Indian tribes and cultures,,,
,E101-135 Discovery of America and early explorations,,,,
,,E103-110 Pre-Columbian period,,,
,,E111-120 Columbus,,,
,,E121-135 Post-Columbian period. El Dorado,,,
,E141-143 Descriptive accounts of America. Earliest to 1810,,,,
E151-909 United States,,,,,
,E151-169.12 General,,,,
,E171-183.9 History,,,,
,,E171-180 General,,,
,,,E173 Sources and documents,,
,,,E175-175.7 Historiography,,
,,,E176-176.8 Biography,,
,,,E179.5 Historical geography,,
,,E181 Military history,,,
,,E182 Naval history,,,
,,E183-183.3 Political history,,,
,E183.7-183.9 Diplomatic history. Foreign and general relations.,,,,
,,E183.8 Relations with individual countries,,,
,E184-185.98 Elements in the population,,,,
,,E184.5-185.98 Afro-Americans,,,
,,,E185.2-185.89 Status and development since emancipation,,
,,,E185.96-185.98 Biography. Genealogy,,
,E186-199 Colonial history (1607-1775),,,,
,,E186-189 General,,,
,,E191-199 By period,,,
,,,E191 1607-1689,,
,,,E195-199 1689-1775,,
,,,,"E196 King William's War, 1689-1697",
,,,,"E197 Queen Anne's War, 1702-1713",
,,,,"E198 King George's War, 1744-1748",
,,,,"E199 French and Indian War, 1755-1763",
,"E201-298 The Revolution, 1775-1783",,,,
,"E300-453 Revolution to the Civil War, 1775/1783-1861",,,,
,,E300-302.6 General,,,
,,,E302 Collected works of American statemen,,
,,,E302.1 Political history,,
,,,E302.5-302.6 Biography (Late eighteenth century),,
,,E303-440.5 By period,,,
,,,"E303-309 1775-1789. The Confederation, 1783-1789",,
,,,E310-337 1789-1809. Constitutional period,,
,,,,E310.7 Diplomatic history. Foreign and general relations,
,,,,"E311-320 Washington's administrations, 1789-1797",
,,,,"E321-330 John Adams' administration, 1797-1801",
,,,,,"E323 Troubles with France, 1796-1800"
,,,,"E331-337 Jefferson's administrations, 1801-1809",
,,,,,"E333 Purchase of Louisiana, 1803"
,,,,,"E335 War with Tripoli, 1801-1805"
,,,,,"E336-336.5 Neutral trade and its restrictions, 1800-1810"
,,,E337.5 Nineteenth century (General),,
,,,"E337.8-400 Early nineteenth century, 1801/1809-1845",,
,,,,E337.8-340 General,
,,,,,E337.8 Collected works of American statesmen
,,,,,E339-340 Biography
,,,,"E341-370 Madison's administrations, 1809-1817",
,,,,,E351.5-364.9 War of 1812
,,,,,"E365 War with Algeria, 1815"
,,,,"E371-375 Monroe's administrations, 1817-1825",
,,,,,"E373 Missouri Compromise, 1820"
,,,,,E374 Diplomatic history. Foreign relations
,,,,"E376-380 John Quincy Adams' administration, 1825-1829",
,,,,"E381-385 Jackson's administrations, 1829-1837",
,,,,,E384.3 Nullification
,,,,"E386-390 Van Buren's administration, 1837-1841",
,,,,"E391-392 William H. Harrison's administration, March 4-April 4, 1841",
,,,,"E396-400 Tyler's administration, April 4, 1841-1845",
,,,,,"E398 Northeastern boundary disputes, 1783-1845"
,,,"E401-415.2 Mexican War, 1846-1848",,
,,,,E408 Mexican cessions of 1848,
,,,"E415.6-440.5 Middle nineteenth century, 1845/1848-1861",,
,,,,E415.6-415.9 General,
,,,,,E415.6 Collected works of American statesmen
,,,,,E415.8-415.9 Biography
,,,,"E416-420 Polk's administration, 1845-1849",
,,,,"E421-423 Taylor's administiration, 1849-July 9, 1850",
,,,,,"E423 Slavery question, 1849-1853"
,,,,"E426-430 Fillmore's administration, July 9, 1850-1853",
