Langauge & Literature  

Library	Label			Category Name							Tag
--------	-------------	----------------------------------------------		----------
ddc        	42           	English & Old English languages				Western
ddc        	43          	German & related languages					Western
ddc        	44           	French & related languages					Western
ddc        	45           	Italian, Romanian & related languages			Western
ddc        	46           	Spanish & Portuguese languages				Western
ddc        	47           	Latin & Italic languages					Western
ddc        	48           	Classical & modern Greek languages				Western
ddc        	491.6        	Celtic								Western
ddc        	491.9        	Baltic								Western
ddc       	494.5        	Finno-Ugric languages						Western
ddc        	81           	American literature in English				Western
ddc       	82           	English & Old English literatures				Western
ddc        	83           	German & related literatures					Western
ddc        	84           	French & related literatures					Western
ddc        	85           	Italian, Romanian & related literatures			Western
ddc        	86           	Spanish & Portuguese literatures				Western
ddc        	87           	Latin & Italic literatures					Western
ddc        	88           	Classical & modern Greek literatures			Western
ddc        	891.6        	Celtic languages							Western
ddc        	891.91       	Old Prussian							Western
ddc        	891.92       	Lithuanian								Western
ddc        	891.93       	Latvian								Western
ddc        	894.5        	Fenno-Ugric languages						Western
ddc        	491.1       	Indic									Non-Western
ddc        	491.2        	Sanskrit								Non-Western
ddc        	491.3        	Pali									Non-Western
ddc        	491.4        	Modern East Indian languages (excluding Dravidian)	Non-Western
ddc        	491.5        	Iranic								Non-Western
ddc        	491.7        	Russian and related East Slavic languages			Non-Western
ddc        	491.8        	Slavic languages							Non-Western
ddc        	492          	Afro-Asiatic languages; Semitic languages			Non-Western
ddc        	493          	Non-Semitic Afro-Asiatic languages				Non-Western
ddc        	494.2        	Mongolian								Non-Western
ddc        	494.3        	Turkish								Non-Western
ddc        	494.6        	East Altaic languages						Non-Western
ddc        	494.8        	Dravidian languages						Non-Western
ddc        	495          	Languages of East & Southeast Asia				Non-Western
ddc        	496          	African languages							Non-Western
ddc        	497          	North American native languages				Non-Western
ddc        	498          	South American native languages				Non-Western
ddc        	499          	Austronesian & other languages				Non-Western
ddc        	891.1        	Indo-Iranian							Non-Western
ddc        	891.2        	Sanskrit								Non-Western
ddc        	891.3        	Middle Indic languages						Non-Western
ddc        	891.4        	Modern Indic languages						Non-Western
ddc        	891.5        	Persian languages							Non-Western
ddc        	891.7        	Russian and East Slavic languages				Non-Western
ddc        	891.8        	West and South Slavic languages (Bulgarian, Slovene,	Non-Western
					Polish, Czech, Slovak, Serbo-Croatian, and Macedonian)
ddc        	891.99      	Other Indo-European languages					Non-Western
ddc        	892          	Afro-Asiatic literatures; Semitic literatures		Non-Western
ddc        	893          	Non-Semitic Afro-Asiatic literatures			Non-Western
ddc        	894.1        	Tungusic languages						Non-Western
ddc        	894.2        	Mongolic languages						Non-Western
ddc        	894.3        	Turkic languages							Non-Western
ddc       	894.6        	Paleosiberian languages, incl. Ainu				Non-Western
ddc        	894.8        	Dravidian literatures						Non-Western
ddc        	895          	Literatures of East & Southeast Asia			Non-Western
ddc        	896          	African literatures						Non-Western
ddc        	897          	North American native literatures				Non-Western
ddc        	898          	South American native literatures				Non-Western
ddc       	899          	Austronesian & other literatures				Non-Western
			          	Greek language and literature.				Non-Western

lcc        	PA			Lation language and literature				Western
lcc        	PB           	Modern languages. Celtic languages				Western
lcc        	PC           	Romance languages							Western
lcc        	PD           	Germanic languages. Scandinavian languages		Western
lcc        	PE           	English language							Western
lcc        	PF           	West Germanic languages						Western
lcc        	PG8001-9146  	Baltic								Western
lcc        	PH           	Uralic languages. Basque languages				Western
lcc        	PQ           	French literature - Italian literature - Spanish	Western
				 	literature - Portuguese literature				
lcc        	PR           	English literature						Western
lcc        	PS           	American literature						Western
lcc        	PG1-7925     	Slavic								Non-Western
lcc        	PG9501-9665  	Albanian								Non-Western
lcc        	PJ           	Oriental languages and literature				Non-Western
lcc        	PK           	Indo-Iranian languages and literature			Non-Western
lcc        	PL           	Languages and literature of Eastern Asia, Africa,	Non-Western
                        	Oceania
lcc        	PM1-94       	Hperborean languages of Arctic Asia and America		Non-Western
lcc        	PM101-2711   	American languages (Aboriginal)				Non-Western
lcc        	PM3001-4566  	Languages of Mexico and Central America			Non-Western
lcc        	PM5001-7356  	Languages of South America and the West Indies		Non-Western

